company_id,marketcap,employees_count,price_usd,operating_margin_ttm,pe_ratio_ttm
1,3043838656512,164000,195.71,3020.0,31.5373
2,2781374840832,221000,374.23,4214.0,35.806
3,1700471111680,190711,136.64,2549.0,26.3714
4,311220961280,164000,113.61,1802.0,32.5274
5,277737570304,29239,610.01,3412.0,54.5991
6,242784075776,79390,250.81,315.0,154.565
7,187339145216,105132,160.16,1772.0,29.9568
8,160655278080,17300,573.9,2208.0,67.2341
9,147888750592,288300,161.96,308.0,21.0262
10,143349858304,20433,699.08,699.0,88.3907
11,105114054034,135000,188.27,1380.0,28.5963
12,94299897856,60000,229.27,2580.0,27.2178
13,94091829248,13979,298.42,455.0,203.896
14,81489756160,19000,535.93,2195.0,78.7832
15,71906828288,17866,273.41,-127.0,-568.08
16,70717079552,10200,259.93,2934.0,73.0901
17,62811719191,24753,47.59,2304.0,57.5647
18,62692294656,6310,190.67,-3776.0,-70.4173
19,61521440768,38300,142.48,1342.0,42.6587
20,58247168000,7321,242.55,-523.0,-603.559
22,49640230912,8813,192.36,-880.0,-95.8418
23,47919099904,13700,224.01,1890.0,54.9975
24,40054185984,13202,52.16,2490.0,34.9116
25,38667341824,3850,17.77,-166.0,287.0
26,37399302144,4800,113.83,-324.0,-442.308
27,34629677056,2770,70.63,1113.0,254.741
29,32415209472,3500,40.21,-415.0,-502.75
30,31221220009,17252,70.56,2280.0,32.3675
31,29486614528,4975,198.8,-1575.0,-141.879
32,28034861056,3320,1134.39,3573.0,66.9497
33,27746897920,6744,172.71,1805.0,50.5702
34,27473420288,4527,381.79,-2259.0,-111.052
35,26029043712,3394,77.52,-1860.0,-125.902
36,25440962560,8000,150.95,-419.0,-1161.62
37,25267924992,7055,502.04,-947.0,-118.85
38,25200017408,15000,144.33,2656.0,22.3801
39,24949868544,5900,287.2,2665.0,51.4586
40,22241144832,8484,73.06,336.0,156.37
41,19867410432,7084,166.61,1852.0,78.4808
43,18417111040,12000,89.39,1675.0,15.8788
44,18188396544,2266,33.67,-3711.0,-74.9556
45,17256689664,9960,114.41,1819.0,38.697
46,17048366080,6026,145.72,3984.0,19.9655
47,16979001344,7229,403.07,1013.0,106.386
48,16862715904,12072,443.89,3181.0,36.0957
49,15935546368,4180,54.13,786.0,93.0
50,15492584448,59300,268.5,1383.0,32.1998
52,14970693632,5000,50.59,1596.0,99.2941
53,14918025216,45000,108.49,762.0,101.57
55,14191837184,3700,22.15,2408.0,10.5545
56,14135639040,27600,57.11,2376.0,22.8474
57,14066119680,2821,103.01,1939.0,25.5776
58,13942501376,3833,24.63,-2526.0,-73.1562
59,13651468288,4340,221.74,2061.0,83.3783
60,12868737024,7926,203.2,1583.0,41.8833
61,12783447040,8156,70.61,-1824.0,-10.3897
62,12675544064,3574,198.99,-1753.0,-117.747
63,12545562624,1675,37.36,96.0,736.8
64,12426621952,7703,32.7,-5132.0,-11.2324
65,12127542272,10500,236.13,941.0,25.8284
66,11906493440,5683,72.01,-3389.0,-19.5122
67,11667219456,11825,46.9,1548.0,34.6296
68,11638662144,3540,15.64,2652.0,44.8235
69,11538207744,2886,115.81,-1793.0,-50.5312
70,11202050048,6450,46.02,-2171.0,-40.8818
71,10845547520,25550,39.93,1476.0,71.0179
72,10765238272,6349,186.57,2874.0,31.6684
74,10487051264,8526,67.17,453.0,2213.67
75,10204099584,31000,85.73,1386.0,18.1043
76,10199184384,6736,170.82,1429.0,25.6212
77,10194998690,2430,78.78,3309.0,29.1335
78,10105383936,7336,49.73,-200.0,-554.348
79,9840469394,10533,14.49,3217.0,29.1918
80,9747642462,3436,84.4,2179.0,61.261
81,9644134400,26000,227.27,1122.0,63.3438
82,9372601344,2123,599.39,-22627.0,66.175
83,9311404032,3118,27.59,1313.0,18.5906
84,9217439744,2170,59.2,-4889.0,-46.5118
85,8560716042,25696,2.5,446.0,-163.676
86,8558551040,5300,152.35,1319.0,59.0462
87,8450010624,1549,175.03,-1872.0,-174.08
88,8425850368,3568,58.72,-3085.0,-35.6951
89,8397291008,2768,201.06,-2516.0,-71.8897
90,8292192768,4500,15.35,-1136.0,-20.9167
91,7965164032,7000,59.98,1184.0,43.781
92,7956500992,6000,27.33,168.0,-39.2609
94,7542877152,7669,55.7,1872.0,41.8092
95,7168200192,2200,24.0,-8392.0,-17.2206
97,6982605312,2761,22.68,-6878.0,-14.961
98,6945441792,2375,11.53,-410.0,-85.5196
99,6927445504,2143,188.32,2789.0,57.9286
100,6729606144,2215,183.38,1470.0,105.89
102,6245709567,11639,100.29,2981.0,65.6985
103,6233316352,119100,34.36,1064.0,15.4505
104,6178351104,2663,86.99,-1537.0,-41.622
105,5982555136,5400,20.26,-3860.0,-35.2105
106,5967473152,3176,44.16,-2247.0,-40.0804
107,5935260556,15328,19.0,1255.0,21.352
108,5844023808,2380,80.39,-887.0,-65.8917
109,5826569216,3200,71.35,-282.0,-124.246
110,5675832320,902,33.39,1582.0,102.594
112,5347710464,1501,54.09,-3660.0,-37.8951
113,5331301376,11600,8.03,-16582.0,-1.27619
114,5271555072,1728,19.25,-640.0,-172.182
115,5150774784,2465,95.3,-1746.0,-37.5412
116,4811875328,1900,41.15,-607.0,-60.0147
117,4803814648,6698,17.73,1486.0,80.2497
118,4752529920,2143,43.62,-1953.0,-43.0693
119,4623784448,3200,85.86,-214.0,-175.25
120,4535594496,3232,22.46,-646.0,-185.75
121,4380835840,6145,52.43,-1227.0,-108.0
122,4372339712,1400,28.58,-342.0,-130.682
124,4350585856,18000,7.96,-279.0,-15.3394
125,4326080512,1782,19.44,-6265.0,-12.1558
126,4273479945,23224,69.33,1235.0,50.0483
127,4247453952,7000,43.43,819.0,76.1404
129,4184589312,1775,106.75,1138.0,54.0978
131,4118630912,1700,2.71,-253382.0,-3.60274
132,4034809088,2400,20.81,-5588.0,-19.7619
133,4016004608,11742,69.54,1541.0,34.5922
134,3928496384,1466,27.15,-202.0,-108.875
